cause_id,icd10,icd10_name
657,L02.8,"Cutaneous abscess, furuncle and carbuncle of other sites"
657,L02.2,"Cutaneous abscess, furuncle and carbuncle of trunk"
657,L02.9,"Cutaneous abscess, furuncle and carbuncle, unspecified"
651,Q44.6,Cystic disease of liver
652,Q11.0,Cystic eyeball
593,Q61.9,"Cystic kidney disease, unspecified"
595,N30.9,"Cystitis, unspecified"
608,N81.1,Cystocele
612,N75.0,Cyst of Bartholin's gland
602,N28.1,"Cyst of kidney, acquired"
648,Q93.9,"Deletion from autosomes, unspecified"
648,Q93.3,Deletion of short arm of chromosome 4
648,Q93.4,Deletion of short arm of chromosome 5
648,Q93.7,Deletions with other complex rearrangements
614,D56.2,Delta-beta thalassemia
668,L13.0,Dermatitis herpetiformis
650,Q50.1,Developmental ovarian cyst
643,Q24.0,Dextrocardia
652,Q06.2,Diastematomyelia
649,Q77.5,Diastrophic dysplasia
649,Q68.6,Discoid meniscus
643,Q20.5,Discordant atrioventricular connection
643,Q20.3,Discordant ventriculoarterial connection
612,N75.9,"Disease of Bartholin's gland, unspecified"
602,N39.9,"Disorder of urinary system, unspecified"
602,N25.9,"Disorder rslt from impaired renal tubular function, unsp"
496,I67.0,"Dissection of cerebral arteries, nonruptured"
602,N32.3,Diverticulum of bladder
649,Q67.2,Dolichocephaly
643,Q20.4,Double inlet ventricle
643,Q20.2,Double outlet left ventricle
643,Q20.1,Double outlet right ventricle
650,Q51.1,Doubling of uterus with doubling of cervix and vagina
650,Q52.1,Doubling of vagina
645,Q90.9,"Down syndrome, unspecified"
693,V49.4,Driver injured in collision w oth and unsp mv in traf
693,V49.0,Driver injured in collision w oth and unsp mv nontraf
693,V36.5,Driver of 3-whl mv injured in clsn w nonmtr vehicle in traf
693,V36.0,Driver of 3-whl mv injured in clsn w nonmtr vehicle nontraf
693,V39.4,Driver of 3-whl mv injured in clsn w oth and unsp mv in traf
693,V39.0,Driver of 3-whl mv injured in clsn w oth and unsp mv nontraf
693,V35.5,Driver of 3-whl mv injured in clsn w rail trn/veh in traf
693,V35.0,Driver of 3-whl mv injured in clsn w rail trn/veh nontraf
693,V37.5,Driver of 3-whl mv injured in clsn w statnry object in traf
693,V37.0,Driver of 3-whl mv injured in clsn w statnry object nontraf
693,V32.5,Driver of 3-whl mv injured in collision w 2/3-whl mv in traf
693,V32.0,Driver of 3-whl mv injured in collision w 2/3-whl mv nontraf
693,V34.5,Driver of 3-whl mv injured in collision w hv veh in traf
693,V34.0,Driver of 3-whl mv injured in collision w hv veh nontraf
693,V30.5,Driver of 3-whl mv injured in collision w ped/anml in traf
693,V30.0,Driver of 3-whl mv injured in collision w ped/anml nontraf
693,V31.5,Driver of 3-whl mv injured in collision w pedl cyc in traf
693,V31.0,Driver of 3-whl mv injured in collision w pedl cyc nontraf
693,V38.5,Driver of 3-whl mv injured in nonclsn trnsp accident in traf
693,V38.0,Driver of 3-whl mv injured in nonclsn trnsp accident nontraf
693,V33.5,"Driver of 3-whl mv injured pick-up truck, pk-up/van in traf"
693,V33.0,"Driver of 3-whl mv injured pick-up truck, pk-up/van nontraf"
693,V72.5,Driver of bus injured in collision w 2/3-whl mv in traf
693,V72.0,Driver of bus injured in collision w 2/3-whl mv nontraf
693,V74.5,Driver of bus injured in collision w hv veh in traf
693,V74.0,Driver of bus injured in collision w hv veh nontraf
693,V76.5,Driver of bus injured in collision w nonmtr vehicle in traf
693,V76.0,Driver of bus injured in collision w nonmtr vehicle nontraf
693,V79.4,Driver of bus injured in collision w oth and unsp mv in traf
693,V79.0,Driver of bus injured in collision w oth and unsp mv nontraf
693,V71.5,Driver of bus injured in collision w pedal cycle in traf
693,V71.0,Driver of bus injured in collision w pedal cycle nontraf
693,V70.5,Driver of bus injured in collision w ped/anml in traf
693,V70.0,Driver of bus injured in collision w ped/anml nontraf
693,V75.5,Driver of bus injured in collision w rail trn/veh in traf
693,V75.0,Driver of bus injured in collision w rail trn/veh nontraf
693,V77.5,Driver of bus injured in collision w statnry object in traf
693,V77.0,Driver of bus injured in collision w statnry object nontraf
693,V78.5,Driver of bus injured in nonclsn transport accident in traf
693,V78.0,Driver of bus injured in nonclsn transport accident nontraf
693,V73.5,"Driver of bus injured pick-up truck, pk-up/van in traf"
693,V73.0,"Driver of bus injured pick-up truck, pk-up/van nontraf"
693,V66.5,Driver of hv veh injured in clsn w nonmtr vehicle in traf
693,V66.0,Driver of hv veh injured in clsn w nonmtr vehicle nontraf
693,V69.4,Driver of hv veh injured in clsn w oth and unsp mv in traf
693,V69.0,Driver of hv veh injured in clsn w oth and unsp mv nontraf
693,V67.5,Driver of hv veh injured in clsn w statnry object in traf
693,V67.0,Driver of hv veh injured in clsn w statnry object nontraf
693,V62.5,Driver of hv veh injured in collision w 2/3-whl mv in traf
693,V62.0,Driver of hv veh injured in collision w 2/3-whl mv nontraf
693,V64.5,Driver of hv veh injured in collision w hv veh in traf
693,V64.0,Driver of hv veh injured in collision w hv veh nontraf
693,V61.5,Driver of hv veh injured in collision w pedal cycle in traf
693,V61.0,Driver of hv veh injured in collision w pedal cycle nontraf
693,V60.5,Driver of hv veh injured in collision w ped/anml in traf
693,V60.0,Driver of hv veh injured in collision w ped/anml nontraf
693,V65.5,Driver of hv veh injured in collision w rail trn/veh in traf
693,V65.0,Driver of hv veh injured in collision w rail trn/veh nontraf
693,V68.5,Driver of hv veh injured in nonclsn trnsp accident in traf
693,V68.0,Driver of hv veh injured in nonclsn trnsp accident nontraf
693,V63.5,"Driver of hv veh injured pick-up truck, pk-up/van in traf"
693,V63.0,"Driver of hv veh injured pick-up truck, pk-up/van nontraf"
693,V59.4,Driver of pk-up/van inj in clsn w oth and unsp mv in traf
693,V59.0,Driver of pk-up/van inj in clsn w oth and unsp mv nontraf
693,V52.5,Driver of pk-up/van injured in clsn w 2/3-whl mv in traf
693,V52.0,Driver of pk-up/van injured in clsn w 2/3-whl mv nontraf
693,V56.5,Driver of pk-up/van injured in clsn w nonmtr vehicle in traf
693,V56.0,Driver of pk-up/van injured in clsn w nonmtr vehicle nontraf
693,V55.5,Driver of pk-up/van injured in clsn w rail trn/veh in traf
693,V55.0,Driver of pk-up/van injured in clsn w rail trn/veh nontraf
693,V57.5,Driver of pk-up/van injured in clsn w statnry object in traf
693,V57.0,Driver of pk-up/van injured in clsn w statnry object nontraf
693,V54.5,Driver of pk-up/van injured in collision w hv veh in traf
693,V54.0,Driver of pk-up/van injured in collision w hv veh nontraf
693,V50.5,Driver of pk-up/van injured in collision w ped/anml in traf
693,V50.0,Driver of pk-up/van injured in collision w ped/anml nontraf
693,V51.5,Driver of pk-up/van injured in collision w pedl cyc in traf
693,V51.0,Driver of pk-up/van injured in collision w pedl cyc nontraf
693,V58.5,Driver of pk-up/van injured in nonclsn trnsp acc in traf
693,V58.0,Driver of pk-up/van injured in nonclsn trnsp acc nontraf
693,V53.5,"Driver of pk-up/van injured pick-up truck, pk-up/van in traf"
693,V53.0,"Driver of pk-up/van injured pick-up truck, pk-up/van nontraf"
618,D61.1,Drug-induced aplastic anemia
668,L10.5,Drug-induced pemphigus
651,Q43.4,Duplication of intestine
593,Q62.5,Duplication of ureter
648,Q92.5,Duplications with other complex rearrangements
652,Q86.2,Dysmorphism due to warfarin
394,A50.1,"Early congenital syphilis, latent"
394,A50.0,"Early congenital syphilis, symptomatic"
394,A50.2,"Early congenital syphilis, unspecified"
394,A51.5,"Early syphilis, latent"
394,A51.9,"Early syphilis, unspecified"
643,Q22.5,Ebstein's anomaly
652,Q82.4,Ectodermal dysplasia (anhidrotic)
651,Q43.5,Ectopic anus
650,Q63.2,Ectopic kidney
650,Q53.0,Ectopic testis
652,Q33.5,Ectopic tissue in lung
649,Q79.6,Ehlers-Danlos syndrome
650,Q50.5,Embryonic cyst of broad ligament
650,Q51.6,Embryonic cyst of cervix
650,Q50.4,Embryonic cyst of fallopian tube
642,Q01.8,Encephalocele of other sites
642,Q01.9,"Encephalocele, unspecified"
649,Q78.4,Enchondromatosis
944,I42.4,Endocardial fibroelastosis
607,N80.6,Endometriosis in cutaneous scar
607,N80.2,Endometriosis of fallopian tube
607,N80.5,Endometriosis of intestine
607,N80.1,Endometriosis of ovary
607,N80.3,Endometriosis of pelvic peritoneum
607,N80.4,Endometriosis of rectovaginal septum and vagina
607,N80.0,Endometriosis of uterus
607,N80.9,"Endometriosis, unspecified"
944,I42.3,Endomyocardial (eosinophilic) disease
652,Q84.5,Enlarged and hypertrophic nails
321,A04.2,Enteroinvasive Escherichia coli infection
336,A87.0,Enteroviral meningitis
657,L98.3,Eosinophilic cellulitis [Wells]
652,Q81.2,Epidermolysis bullosa dystrophica
652,Q81.1,Epidermolysis bullosa letalis
652,Q81.0,Epidermolysis bullosa simplex
652,Q81.9,"Epidermolysis bullosa, unspecified"
602,N45.1,Epididymitis
602,N45.3,Epididymo-orchitis
650,Q64.0,Epispadias
668,L51.9,"Erythema multiforme, unspecified"
657,L08.1,Erythrasma
651,Q39.4,Esophageal web
651,Q79.2,Exomphalos
649,Q79.2,Exomphalos
707,W36.1,Explosion and rupture of aerosol can
707,W36.2,Explosion and rupture of air tank
707,W36.8,Explosion and rupture of other gas cylinder
707,W37.8,"Explosion and rupture of oth pressurized tire, pipe or hose"
707,W36.3,Explosion and rupture of pressurized-gas tank
707,W36.9,Explosion and rupture of unspecified gas cylinder
707,W37.0,Explosion of bicycle tire
707,W40.0,Explosion of blasting material
707,W40.1,Explosion of explosive gases
707,W40.8,Explosion of other specified explosive materials
707,W40.9,Explosion of unspecified explosive materials
707,W49.9,Exposure to other inanimate mechanical forces
707,W42.9,Exposure to other noise
707,W42.0,Exposure to supersonic waves
650,Q64.1,Exstrophy of urinary bladder
657,L98.1,Factitial dermatitis
657,L98.2,Febrile neutrophilic dermatosis [Sweet]
608,N81.9,"Female genital prolapse, unspecified"
650,Q56.2,"Female pseudohermaphroditism, not elsewhere classified"
648,Q97.3,"Female with 46, XY karyotype"
648,Q97.1,Female with more than three X chromosomes
652,Q86.0,Fetal alcohol syndrome (dysmorphic)
652,Q86.1,Fetal hydantoin syndrome
563,R78.2,Finding of cocaine in blood
566,R78.3,Finding of hallucinogen in blood
562,R78.1,Finding of opiate drug in blood
566,R78.4,Finding of other drugs of addictive potential in blood
566,R78.5,Finding of other psychotropic drug in blood
652,Q30.2,"Fissured, notched and cleft nose"
602,N31.2,"Flaccid neuropathic bladder, not elsewhere classified"
612,N83.0,Follicular cyst of ovary
602,N49.3,Fournier gangrene
648,Q99.2,Fragile X chromosome
642,Q01.0,Frontal encephalocele
649,Q70.0,Fused fingers
649,Q70.2,Fused toes
650,Q52.5,Fusion of labia
657,A66.5,Gangosa
651,Q79.3,Gastroschisis
649,Q79.3,Gastroschisis
321,A07.1,Giardiasis [lambliasis]
396,A54.1,Gonocl infct of lower GU tract w periureth and acc glnd abcs
396,A54.0,Gonocl infct of low GU tract w/o periureth or acc glnd abcs
396,A54.6,Gonococcal infection of anus and rectum
396,A54.3,Gonococcal infection of eye
396,A54.4,Gonococcal infection of musculoskeletal system
396,A54.9,"Gonococcal infection, unspecified"
396,A54.2,Gonococcal pelviperitonitis and oth gonococcal GU infection
396,A54.5,Gonococcal pharyngitis
602,N41.4,Granulomatous prostatitis
514,J63.3,Graphite fibrosis (of lung)
657,A66.4,Gummata and ulcers of yaws
943,C91.4,Hairy cell leukemia
566,F16.1,Hallucinogen abuse
566,F16.2,Hallucinogen dependence
566,F16.9,"Hallucinogen use, unspecified"
652,Q80.4,Harlequin fetus
615,D57.0,Hb-SS disease with crisis
612,N83.7,Hematoma of broad ligament
612,N83.6,Hematosalpinx
614,D56.5,Hemoglobin E-beta thalassemia
618,D59.3,Hemolytic-uremic syndrome
334,G00.0,Hemophilus meningitis
401,B15.0,Hepatitis A with hepatic coma
401,B15.9,Hepatitis A without hepatic coma
618,D58.1,Hereditary elliptocytosis
618,D58.9,"Hereditary hemolytic anemia, unspecified"
652,Q82.0,Hereditary lymphedema
593,N07.6,"Hereditary nephropathy, NEC w dense deposit disease"
593,N07.7,"Hereditary nephropathy, NEC w diffuse crescentic glomrlneph"
593,N07.2,"Hereditary nephropathy, NEC w diffuse membranous glomrlneph"
593,N07.5,"Hereditary nephropathy, NEC w diffuse mesangiocap glomrlneph"
593,N07.0,"Hereditary nephropathy, NEC w minor glomerular abnormality"
593,N07.8,"Hereditary nephropathy, NEC w oth morphologic lesions"
593,N07.9,"Hereditary nephropathy, NEC w unsp morphologic lesions"
614,D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
618,D64.0,Hereditary sideroblastic anemia
618,D58.0,Hereditary spherocytosis
593,N07.3,"Heredit neuropath, NEC w diffuse mesangial prolif glomrlneph"
593,N07.4,"Heredit neuropath, NEC w diffus endocaplry prolif glomrlneph"
593,N07.1,"Heredit neuropath, NEC w focal and seg glomerular lesions"
650,Q56.0,"Hermaphroditism, not elsewhere classified"
651,Q43.1,Hirschsprung's disease
652,Q04.2,Holoprosencephaly
652,Q06.4,Hydromyelia
591,I12.0,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD
657,A66.3,Hyperkeratosis of yaws
650,Q63.3,Hyperplastic and giant kidney
649,Q75.2,Hypertelorism
591,I12.9,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny
591,I13.1,Hypertensive heart and chronic kidney disease w/o hrt fail
591,I13.0,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny
591,I13.2,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD
652,Q06.1,Hypoplasia and dysplasia of spinal cord
650,Q55.1,Hypoplasia of testis and scrotum
643,Q23.4,Hypoplastic left heart syndrome
643,Q22.6,Hypoplastic right heart syndrome
650,Q54.0,"Hypospadias, balanic"
650,Q54.1,"Hypospadias, penile"
650,Q54.2,"Hypospadias, penoscrotal"
650,Q54.3,"Hypospadias, perineal"
650,Q54.9,"Hypospadias, unspecified"
652,Q80.0,Ichthyosis vulgaris
618,D61.3,Idiopathic aplastic anemia
650,Q52.3,Imperforate hymen
657,L01.1,Impetiginization of other dermatoses
657,L01.0,Impetigo
608,N81.2,Incomplete uterovaginal prolapse
652,Q82.3,Incontinentia pigmenti
650,Q56.4,"Indeterminate sex, unspecified"
648,Q95.5,Individual with autosomal fragile site
942,I40.0,Infective myocarditis
602,N49.1,"Inflam disorders of sperm cord, tunica vaginalis and vas def"
602,N41.9,"Inflammatory disease of prostate, unspecified"
602,N49.9,Inflammatory disorder of unspecified male genital organ
602,N49.8,Inflammatory disorders of oth male genital organs
602,N49.2,Inflammatory disorders of scrotum
602,N49.0,Inflammatory disorders of seminal vesicle
566,F18.1,Inhalant abuse
566,F18.2,Inhalant dependence
566,F18.9,"Inhalant use, unspecified"
642,Q00.2,Iniencephaly
657,A66.0,Initial lesions of yaws
723,X82.1,Intentional collision of motor vehicle with train
723,X82.2,Intentional collision of motor vehicle with tree
723,X82.0,Intentional collision of motor vehicle w oth motor vehicle
723,X83.0,Intentional self-harm by crashing of aircraft
723,X71.2,Intentional self-harm by drown after jump into swimming pool
723,X71.9,"Intentional self-harm by drowning and submersion, unsp"
723,X71.3,Intentional self-harm by drown in natural water
723,X71.0,Intentional self-harm by drown while in bathtub
723,X71.1,Intentional self-harm by drown while in swimming pool
723,X83.1,Intentional self-harm by electrocution
723,X83.2,Intentional self-harm by exposure to extremes of cold
721,X74.0,"Intentional self-harm by gas, air or spring-operated guns"
723,X77.3,Intentional self-harm by hot household appliances
723,X77.1,Intentional self-harm by hot tap water
721,X73.1,Intentional self-harm by hunting rifle discharge
723,X78.1,Intentional self-harm by knife
721,X73.2,Intentional self-harm by machine gun discharge
721,X74.8,Intentional self-harm by other firearm discharge
723,X77.2,Intentional self-harm by other hot fluids
723,X77.8,Intentional self-harm by other hot objects
721,X73.8,Intentional self-harm by other larger firearm discharge
723,X78.8,Intentional self-harm by other sharp object
723,X83.8,Intentional self-harm by other specified means
723,X78.0,Intentional self-harm by sharp glass
721,X73.0,Intentional self-harm by shotgun discharge
723,X77.0,Intentional self-harm by steam or hot vapors
723,X78.2,Intentional self-harm by sword or dagger
721,X74.9,Intentional self-harm by unspecified firearm discharge
723,X77.9,Intentional self-harm by unspecified hot objects
723,X78.9,Intentional self-harm by unspecified sharp object
721,X73.9,Intentional self-harm by unsp larger firearm discharge
657,A67.1,Intermediate lesions of pinta
595,N30.1,Interstitial cystitis (chronic)
604,D25.1,Intramural leiomyoma of uterus
595,N30.4,Irradiation cystitis
602,N28.0,Ischemia and infarction of kidney
942,I40.1,Isolated myocarditis
592,N06.7,Isolated proteinuria w diffuse crescentic glomerulonephritis
592,N06.4,Isolated proteinuria w diffuse endocaplry prolif glomrlneph
592,N06.2,Isolated proteinuria w diffuse membranous glomerulonephritis
592,N06.3,Isolated proteinuria w diffuse mesangial prolif glomrlneph
592,N06.5,Isolated proteinuria w diffuse mesangiocapillary glomrlneph
592,N06.6,Isolated proteinuria with dense deposit disease
592,N06.0,Isolated proteinuria with minor glomerular abnormality
592,N06.8,Isolated proteinuria with other morphologic lesion
592,N06.9,Isolated proteinuria with unspecified morphologic lesion
592,N06.1,Isolated protein w focal and segmental glomerular lesions
643,Q20.6,Isomerism of atrial appendages
707,W49.0,Item causing external constriction
943,C93.3,Juvenile myelomonocytic leukemia
648,Q97.0,"Karyotype 47, XXX"
649,Q76.1,Klippel-Feil syndrome
652,Q80.2,Lamellar ichthyosis
652,Q31.2,Laryngeal hypoplasia
652,Q31.3,Laryngocele
394,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis]
394,A50.6,"Late congenital syphilis, latent"
394,A50.7,"Late congenital syphilis, unspecified"
394,A50.3,Late congenital syphilitic oculopathy
657,A67.2,Late lesions of pinta
394,A53.0,"Latent syphilis, unspecified as early or late"
657,A66.8,Latent yaws
394,A52.8,"Late syphilis, latent"
394,A52.9,"Late syphilis, unspecified"
604,D25.9,"Leiomyoma of uterus, unspecified"
943,C95.9,"Leukemia, unspecified"
643,Q24.1,Levocardia
707,W45.2,Lid of can entering through skin
715,W45.2,Lid of can entering through skin
649,Q71.6,Lobster-claw hand
650,Q63.1,"Lobulated, fused and horseshoe kidney"
657,L08.9,"Local infection of the skin and subcutaneous tissue, unsp"
649,Q72.4,Longitudinal reduction defect of femur
649,Q72.6,Longitudinal reduction defect of fibula
649,Q71.4,Longitudinal reduction defect of radius
649,Q72.5,Longitudinal reduction defect of tibia
649,Q71.5,Longitudinal reduction defect of ulna
642,Q05.2,Lumbar spina bifida with hydrocephalus
642,Q05.7,Lumbar spina bifida without hydrocephalus
657,I89.1,Lymphangitis
336,A87.2,Lymphocytic choriomeningitis
943,C91.9,"Lymphoid leukemia, unspecified"
649,Q75.3,Macrocephaly
652,Q18.6,Macrocheilia
651,Q38.2,Macroglossia
652,Q11.3,Macrophthalmos
652,Q18.4,Macrostomia
652,Q17.1,Macrotia
650,Q56.1,"Male pseudohermaphroditism, not elsewhere classified"
643,Q24.5,Malformation of coronary vessels
650,Q64.4,Malformation of urachus
652,Q03.0,Malformations of aqueduct of Sylvius
488,C49.6,"Malignant neoplasm of conn and soft tissue of trunk, unsp"
488,C49.4,Malignant neoplasm of connective and soft tissue of abdomen
488,C49.5,Malignant neoplasm of connective and soft tissue of pelvis
488,C49.3,Malignant neoplasm of connective and soft tissue of thorax
488,C49.9,"Malignant neoplasm of connective and soft tissue, unsp"
488,C49.8,Malignant neoplasm of ovrlp sites of conn and soft tissue
488,C49.1,"Malig neoplm of conn and soft tiss of upper limb, inc shldr"
488,C49.0,"Malig neoplm of conn and soft tissue of head, face and neck"
488,C49.2,"Malig neoplm of conn and soft tissue of lower limb, inc hip"
593,Q62.6,Malposition of ureter
649,Q75.4,Mandibulofacial dysostosis
648,Q87.4,Marfan's syndrome
648,Q92.6,Marker chromosomes
943,C94.3,Mast cell leukemia
652,Q82.2,Mastocytosis
651,Q43.0,Meckel's diverticulum (displaced) (hypertrophic)
593,Q61.5,Medullary cystic kidney
652,Q04.5,Megalencephaly
934,A17.1,Meningeal tuberculoma
336,G03.8,Meningitis due to other specified causes
335,A39.5,Meningococcal heart disease
335,A39.9,"Meningococcal infection, unspecified"
335,A39.0,Meningococcal meningitis
335,A39.4,"Meningococcemia, unspecified"
649,Q78.5,Metaphyseal dysplasia
652,Q18.7,Microcheilia
652,Q11.2,Microphthalmos
652,Q18.5,Microstomia
652,Q17.2,Microtia
495,G46.0,Middle cerebral artery syndrome
934,A19.9,"Miliary tuberculosis, unspecified"
652,Q17.4,Misplaced ear
657,A67.3,Mixed lesions of pinta
943,C93.9,"Monocytic leukemia, unspecified"
648,Q97.2,"Mosaicism, lines with various numbers of X chromosomes"
692,V22.4,Motorcycle driver injured in collision w 2/3-whl mv in traf
692,V22.0,Motorcycle driver injured in collision w 2/3-whl mv nontraf
692,V24.4,Motorcycle driver injured in collision w hv veh in traf
692,V24.0,Motorcycle driver injured in collision w hv veh nontraf
692,V21.4,Motorcycle driver injured in collision w pedal cycle in traf
692,V21.0,Motorcycle driver injured in collision w pedal cycle nontraf
692,V20.4,Motorcycle driver injured in collision w ped/anml in traf
692,V20.0,Motorcycle driver injured in collision w ped/anml nontraf
692,V23.4,"Motorcycle driver injured pick-up truck, pk-up/van in traf"
692,V23.0,"Motorcycle driver injured pick-up truck, pk-up/van nontraf"
692,V24.5,Motorcycle passenger injured in collision w hv veh in traf
692,V24.1,Motorcycle passenger injured in collision w hv veh nontraf
692,V20.5,Motorcycle passenger injured in collision w ped/anml in traf
692,V20.1,Motorcycle passenger injured in collision w ped/anml nontraf
692,V21.5,Motorcycle passenger injured in collision w pedl cyc in traf
692,V21.1,Motorcycle passenger injured in collision w pedl cyc nontraf
692,V29.8,Motorcycle rider (driver) injured in oth transport accidents
692,V29.3,Motorcycle rider (driver) injured in unsp nontraf
692,V29.9,Motorcycle rider (driver) (passenger) injured in unsp traf
495,I67.5,Moyamoya disease
692,V26.4,Mtrcy driver injured in collision w nonmtr vehicle in traf
692,V26.0,Mtrcy driver injured in collision w nonmtr vehicle nontraf
692,V29.4,Mtrcy driver injured in collision w oth and unsp mv in traf
692,V29.0,Mtrcy driver injured in collision w oth and unsp mv nontraf
692,V25.4,Mtrcy driver injured in collision w rail trn/veh in traf
692,V25.0,Mtrcy driver injured in collision w rail trn/veh nontraf
692,V27.4,Mtrcy driver injured in collision w statnry object in traf
692,V27.0,Mtrcy driver injured in collision w statnry object nontraf
692,V28.4,Mtrcy driver injured in nonclsn transport accident in traf
692,V28.0,Mtrcy driver injured in nonclsn transport accident nontraf
692,V28.5,Mtrcy pasngr injured in nonclsn transport accident in traf
692,V28.1,Mtrcy pasngr injured in nonclsn transport accident nontraf
692,V26.5,Mtrcy passenger injured in clsn w nonmtr vehicle in traf
692,V26.1,Mtrcy passenger injured in clsn w nonmtr vehicle nontraf
692,V29.5,Mtrcy passenger injured in clsn w oth and unsp mv in traf
692,V29.1,Mtrcy passenger injured in clsn w oth and unsp mv nontraf
692,V27.5,Mtrcy passenger injured in clsn w statnry object in traf
692,V27.1,Mtrcy passenger injured in clsn w statnry object nontraf
692,V22.5,Mtrcy passenger injured in collision w 2/3-whl mv in traf
692,V22.1,Mtrcy passenger injured in collision w 2/3-whl mv nontraf
692,V25.5,Mtrcy passenger injured in collision w rail trn/veh in traf
692,V25.1,Mtrcy passenger injured in collision w rail trn/veh nontraf
692,V23.5,"Mtrcy passenger injured pick-up truck, pk-up/van in traf"
692,V23.1,"Mtrcy passenger injured pick-up truck, pk-up/van nontraf"
495,G45.2,Multiple and bilateral precerebral artery syndromes
649,Q78.6,Multiple congenital exostoses
652,Q89.7,"Multiple congenital malformations, not elsewhere classified"
657,A66.1,Multiple papillomata and wet crab yaws
943,C94.6,"Myelodysplastic disease, not classified"
943,C92.9,"Myeloid leukemia, unspecified"
847,C92.3,Myeloid sarcoma
942,I51.4,"Myocarditis, unspecified"
707,W45.0,Nail entering through skin
715,W45.0,Nail entering through skin
642,Q01.1,Nasofrontal encephalocele
656,M72.6,Necrotizing fasciitis
562,P96.1,Neonatal w/drawal symp from matern use of drugs of addiction
849,D49.2,"Neoplasm of unsp behavior of bone, soft tissue, and skin"
602,N25.1,Nephrogenic diabetes insipidus
592,N04.7,Nephrotic syndrome w diffuse crescentic glomerulonephritis
592,N04.4,Nephrotic syndrome w diffuse endocaplry prolif glomrlneph
592,N04.2,Nephrotic syndrome w diffuse membranous glomerulonephritis
592,N04.3,Nephrotic syndrome w diffuse mesangial prolif glomrlneph
592,N04.5,Nephrotic syndrome w diffuse mesangiocapillary glomrlneph
592,N04.1,Nephrotic syndrome w focal and segmental glomerular lesions
592,N04.6,Nephrotic syndrome with dense deposit disease
592,N04.0,Nephrotic syndrome with minor glomerular abnormality
592,N04.8,Nephrotic syndrome with other morphologic changes
592,N04.9,Nephrotic syndrome with unspecified morphologic changes
652,Q85.0,Neurofibromatosis (nonmalignant)
602,N31.9,"Neuromuscular dysfunction of bladder, unspecified"
394,A52.3,"Neurosyphilis, unspecified"
668,L51.0,Nonbullous erythema multiforme
727,Y07.5,"Non-family member, perpetrator of maltreatment and neglect"
612,N83.9,"Noninflammatory disord of ovary, fallop & broad ligmt, unsp"
595,N11.0,Nonobstructive reflux-associated chronic pyelonephritis
657,L97.3,Non-pressure chronic ulcer of ankle
657,L97.2,Non-pressure chronic ulcer of calf
657,L97.4,Non-pressure chronic ulcer of heel and midfoot
657,L97.5,Non-pressure chronic ulcer of other part of foot
657,L97.8,Non-pressure chronic ulcer of other part of lower leg
657,L98.4,"Non-pressure chronic ulcer of skin, not elsewhere classified"
657,L97.1,Non-pressure chronic ulcer of thigh
657,L97.9,Non-pressure chronic ulcer of unspecified part of lower leg
336,G03.0,Nonpyogenic meningitis
495,I67.6,Nonpyogenic thrombosis of intracranial venous system
595,N34.1,Nonspecific urethritis
496,I62.1,Nontraumatic extradural hemorrhage
496,I61.1,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical"
496,I61.0,"Nontraumatic intcrbl hemorrhage in hemisphere, subcortical"
496,I61.3,Nontraumatic intracerebral hemorrhage in brain stem
496,I61.4,Nontraumatic intracerebral hemorrhage in cerebellum
496,I61.2,"Nontraumatic intracerebral hemorrhage in hemisphere, unsp"
496,I61.5,"Nontraumatic intracerebral hemorrhage, intraventricular"
496,I61.6,"Nontraumatic intracerebral hemorrhage, multiple localized"
496,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified"
496,I62.9,"Nontraumatic intracranial hemorrhage, unspecified"
496,I60.4,Nontraumatic subarachnoid hemorrhage from basilar artery
496,I60.6,Nontraumatic subarachnoid hemorrhage from oth intracran art
496,I60.7,Nontraumatic subarachnoid hemorrhage from unsp intracran art
496,I60.5,Nontraumatic subarachnoid hemorrhage from vertebral artery
496,I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified"
496,I62.0,Nontraumatic subdural hemorrhage
496,I60.2,Ntrm subarach hemorrhage from anterior communicating artery
496,I60.0,Ntrm subarach hemorrhage from carotid siphon and bifurcation
496,I60.3,Ntrm subarach hemorrhage from posterior communicating artery
496,I60.1,Ntrm subarachnoid hemorrhage from middle cerebral artery
944,I42.1,Obstructive hypertrophic cardiomyopathy
642,Q01.2,Occipital encephalocele
495,I66.1,Occlusion and stenosis of anterior cerebral artery
495,I65.1,Occlusion and stenosis of basilar artery
495,I65.2,Occlusion and stenosis of carotid artery
495,I66.3,Occlusion and stenosis of cerebellar arteries
495,I66.0,Occlusion and stenosis of middle cerebral artery
495,I66.8,Occlusion and stenosis of other cerebral arteries
495,I65.8,Occlusion and stenosis of other precerebral arteries
495,I66.2,Occlusion and stenosis of posterior cerebral artery
495,I66.9,Occlusion and stenosis of unspecified cerebral artery
495,I65.9,Occlusion and stenosis of unspecified precerebral artery
