cause_id,cause_name,icd10_lookup_provided,icd10_ranges_expanded
492,Rheumatic heart disease,"I01-I01.9, I02.0, I05-I09.9","I01.0,I01.1,I01.2,I01.8,I01.9,I02.0,I05.0,I05.1,I05.2,I05.8,I05.9,I06.0,I06.1,I06.2,I06.8,I06.9,I07.0,I07.1,I07.2,I07.8,I07.9,I08.0,I08.1,I08.2,I08.3,I08.8,I08.9,I09.0,I09.1,I09.2,I09.8,I09.9"
493,Ischemic heart disease,I20-I25.9,"I20.0,I20.1,I20.8,I20.9,I21.0,I21.1,I21.2,I21.3,I21.4,I22.0,I22.1,I22.2,I22.8,I22.9,I23.0,I23.1,I23.2,I23.3,I23.4,I23.5,I23.6,I23.7,I23.8,I24.0,I24.1,I24.8,I24.9,I25.1,I25.2,I25.3,I25.4,I25.5,I25.6,I25.7,I25.8,I25.9"
494,Cerebrovascular disease,"G45-G46.8, I60-I63.9, I65-I66.9, I67.0-I67.3, I67.5-I67.6, I68.1-I68.2, I69.0-I69.3","G45.0,G45.1,G45.2,G45.3,G45.4,G45.8,G45.9,G46.0,G46.1,G46.2,G46.3,G46.4,G46.5,G46.6,G46.7,G46.8,I60.0,I60.1,I60.2,I60.3,I60.4,I60.5,I60.6,I60.7,I60.8,I60.9,I61.0,I61.1,I61.2,I61.3,I61.4,I61.5,I61.6,I61.8,I61.9,I62.0,I62.1,I62.9,I63.0,I63.1,I63.2,I63.3,I63.4,I63.5,I63.6,I63.8,I63.9,I65.0,I65.1,I65.2,I65.8,I65.9,I66.0,I66.1,I66.2,I66.3,I66.8,I66.9,I67.0,I67.1,I67.2,I67.3,I67.5,I67.6,I68.2,I69.0,I69.1,I69.2,I69.3"
498,Hypertensive heart disease,I11-I11.9,"I11.0,I11.9"
499,Cardiomyopathy and myocarditis,"B33.2, I40-I41.9, I42.1-I42.8, I43-I43.9, I51.4","B33.2,I40.0,I40.1,I40.8,I40.9,I42.1,I42.2,I42.3,I42.4,I42.5,I42.6,I42.7,I42.8,I51.4"
500,Atrial fibrillation and flutter,I48-I48.9,"I48.0,I48.1,I48.2,I48.3,I48.4,I48.9"
501,Aortic aneurysm,I71-I71.9,"I71.0,I71.1,I71.2,I71.3,I71.4,I71.5,I71.6,I71.8,I71.9"
502,Peripheral artery disease,"I70.2-I70.8, I73-I73.9","I70.2,I70.3,I70.4,I70.5,I70.6,I70.7,I70.8,I73.0,I73.1,I73.8,I73.9"
503,Endocarditis,"I33-I33.9, I38-I39.9","I33.0,I33.9"
507,Other cardiovascular and circulatory diseases,"I28-I28.8, I30-I31.1, I31.8-I32.8, I34-I37.9, I47-I47.9, I51.0-I51.3, I68.0, I72-I72.9, I77-I83.9, I86-I89.0, I89.9, I98, K75.1","I28.0,I28.1,I28.8,I30.0,I30.1,I30.8,I30.9,I31.0,I31.1,I31.8,I31.9,I34.0,I34.1,I34.2,I34.8,I34.9,I35.0,I35.1,I35.2,I35.8,I35.9,I36.0,I36.1,I36.2,I36.8,I36.9,I37.0,I37.1,I37.2,I37.8,I37.9,I47.0,I47.1,I47.2,I47.9,I51.0,I51.1,I51.2,I51.3,I68.0,I72.0,I72.1,I72.2,I72.3,I72.4,I72.8,I72.9,I77.0,I77.1,I77.2,I77.3,I77.4,I77.5,I77.6,I77.7,I77.8,I77.9,I78.0,I78.1,I78.8,I78.9,I79.0,I79.1,I79.8,I80.0,I80.1,I80.2,I80.3,I80.8,I80.9,I82.0,I82.1,I82.2,I82.3,I82.4,I82.5,I82.6,I82.7,I82.8,I82.9,I83.0,I83.1,I83.2,I83.8,I83.9,I86.0,I86.1,I86.2,I86.3,I86.4,I86.8,I87.0,I87.1,I87.2,I87.3,I87.8,I87.9,I88.0,I88.1,I88.8,I88.9,I89.0,I89.9,K75.1"
509,Chronic obstructive pulmonary disease,"J40-J44.9, J47-J47.9","J41.0,J41.1,J41.8,J43.0,J43.1,J43.2,J43.8,J43.9,J44.0,J44.1,J44.9,J47.0,J47.1,J47.9"
510,Pneumoconiosis,"J60-J63.8, J65-J65.0, J92.0","J62.0,J62.8,J63.0,J63.1,J63.2,J63.3,J63.4,J63.5,J63.6,J92.0"
515,Asthma,J45-J46.9,"J45.2,J45.3,J45.4,J45.5,J45.9"
516,Interstitial lung disease and pulmonary sarcoidosis,"D86-D86.2, D86.9, J84-J84.9","D86.9,D86.0,D86.1,D86.2,J84.0,J84.1,J84.2,J84.8,J84.9"
520,Other chronic respiratory diseases,"G47.3, J30-J35.9, J37-J39.9, J66-J68.9, J70-J70.1, J70.8-J70.9, J82, J91-J92, J92.9","G47.3,J30.0,J30.1,J30.2,J30.5,J30.8,J30.9,J31.0,J31.1,J31.2,J32.0,J32.1,J32.2,J32.3,J32.4,J32.8,J32.9,J33.0,J33.1,J33.8,J33.9,J34.0,J34.1,J34.2,J34.3,J34.8,J34.9,J35.0,J35.1,J35.2,J35.3,J35.8,J35.9,J37.0,J37.1,J38.0,J38.1,J38.2,J38.3,J38.4,J38.5,J38.6,J38.7,J39.0,J39.1,J39.2,J39.3,J39.8,J39.9,J66.0,J66.1,J66.2,J66.8,J67.0,J67.1,J67.2,J67.3,J67.4,J67.5,J67.6,J67.7,J67.8,J67.9,J68.0,J68.1,J68.2,J68.3,J68.4,J68.8,J68.9,J70.8,J70.9,J70.0,J70.1,J91.0,J91.8,J92.0,J92.9,J92.9"
522,Cirrhosis and other chronic liver diseases due to hepatitis B,B18.0-B18.1,"B18.0,B18.1"
523,Cirrhosis and other chronic liver diseases due to hepatitis C,B18.2,B18.2
524,Cirrhosis and other chronic liver diseases due to alcohol use,K70,"K70.0,K70.1,K70.2,K70.3,K70.4,K70.9"
525,Cirrhosis and other chronic liver diseases due to other causes,"B18.8, B18.9,  I85-I85.9,  I98.2,  K71-K77","B18.8,B18.9,I85.0,I85.1,K71.0,K71.1,K71.2,K71.3,K71.4,K71.5,K71.6,K71.7,K71.8,K71.9,K72.0,K72.1,K72.9,K73.0,K73.1,K73.2,K73.8,K73.9,K74.0,K74.1,K74.2,K74.3,K74.4,K74.5,K74.6,K75.0,K75.1,K75.2,K75.3,K75.4,K75.8,K75.9,K76.0,K76.1,K76.2,K76.3,K76.4,K76.5,K76.6,K76.7,K76.8,K76.9"
527,Peptic ulcer disease,"K25-K28.9, K31, K31.1-K31.6, K31.8","K25.0,K25.1,K25.2,K25.3,K25.4,K25.5,K25.6,K25.7,K25.9,K26.0,K26.1,K26.2,K26.3,K26.4,K26.5,K26.6,K26.7,K26.9,K27.0,K27.1,K27.2,K27.3,K27.4,K27.5,K27.6,K27.7,K27.9,K28.0,K28.1,K28.2,K28.3,K28.4,K28.5,K28.6,K28.7,K28.9,K31.0,K31.1,K31.2,K31.3,K31.4,K31.5,K31.6,K31.7,K31.8,K31.9,K31.1,K31.2,K31.3,K31.4,K31.5,K31.6,K31.8"
528,Gastritis and duodenitis,K29-K29.9,"K29.0,K29.2,K29.3,K29.4,K29.5,K29.6,K29.7,K29.8,K29.9"
529,Appendicitis,"K35-K37.9, K38.3-K38.9","K35.2,K35.3,K35.8,K38.3,K38.8,K38.9"
530,Paralytic ileus and intestinal obstruction,K56-K56.9,"K56.0,K56.1,K56.2,K56.3,K56.4,K56.5,K56.6,K56.7"
531,"Inguinal, femoral, and abdominal hernia","K40-K42.9, K44-K46.9","K40.0,K40.1,K40.2,K40.3,K40.4,K40.9,K41.0,K41.1,K41.2,K41.3,K41.4,K41.9,K42.0,K42.1,K42.9,K44.0,K44.1,K44.9,K45.0,K45.1,K45.8,K46.0,K46.1,K46.9"
532,Inflammatory bowel disease,"K50-K52.9, M09.1","K50.0,K50.1,K50.8,K50.9,K51.0,K51.2,K51.3,K51.4,K51.5,K51.8,K51.9,K52.0,K52.1,K52.2,K52.8,K52.9"
533,Vascular intestinal disorders,K55-K55.9,"K55.0,K55.1,K55.2,K55.8,K55.9"
534,Gallbladder and biliary diseases,K80-K83.9,"K80.0,K80.1,K80.2,K80.3,K80.4,K80.5,K80.6,K80.7,K80.8,K81.0,K81.1,K81.2,K81.9,K82.0,K82.1,K82.2,K82.3,K82.4,K82.8,K82.9,K83.0,K83.1,K83.2,K83.3,K83.4,K83.5,K83.8,K83.9"
535,Pancreatitis,K85-K86.9,"K85.0,K85.1,K85.2,K85.3,K85.8,K85.9,K86.0,K86.1,K86.2,K86.3,K86.8,K86.9"
541,Other digestive diseases,"I84-I84.9, K20-K24, K31.0, K38-K38.2, K57-K62, K62.2-K62.6, K62.8-K62.9, K64-K64.9, K66.8, K67, K68-K68.9, K77, K90-K90.9, K92.8, K93.8","K20.0,K20.8,K20.9,K21.0,K21.9,K22.0,K22.1,K22.2,K22.3,K22.4,K22.5,K22.6,K22.7,K22.8,K22.9,K31.0,K38.0,K38.1,K38.2,K57.0,K57.1,K57.2,K57.3,K57.4,K57.5,K57.8,K57.9,K58.0,K58.9,K59.0,K59.1,K59.2,K59.3,K59.4,K59.8,K59.9,K60.0,K60.1,K60.2,K60.3,K60.4,K60.5,K61.0,K61.1,K61.2,K61.3,K61.4,K62.0,K62.1,K62.2,K62.3,K62.4,K62.5,K62.6,K62.7,K62.8,K62.9,K62.2,K62.3,K62.4,K62.5,K62.6,K62.8,K62.9,K64.0,K64.1,K64.2,K64.3,K64.4,K64.5,K64.8,K64.9,K66.8,K68.1,K68.9,K90.0,K90.1,K90.2,K90.3,K90.4,K90.8,K90.9,K92.8"
543,Alzheimer disease and other dementias,"F00-F03.9, G30-G31.1, G31.8-G31.9","F01.5,F02.8,F03.9,G30.0,G30.1,G30.8,G30.9,G31.0,G31.1,G31.8,G31.9"
544,Parkinson disease,"G20-G21.0, G21.2-G22.0","G21.0,G21.2,G21.3,G21.4,G21.8,G21.9"
545,Epilepsy,G40-G41.9,"G40.0,G40.1,G40.2,G40.3,G40.4,G40.5,G40.8,G40.9"
547,Migraine,G43,"G43.0,G43.1,G43.4,G43.5,G43.6,G43.7,G43.8,G43.9"
548,Tension-type headache,G44.2,G44.2
554,Motor neuron disease,G12.2-G12.9,"G12.2,G12.8,G12.9"
557,Other neurological disorders,"G10-G12.1, G13-G13.8, G23-G24, G24.1-G25.0, G25.2-G25.3, G25.5, G25.8-G26.0, G36-G37.9, G61-G61.9, G70-G72, G72.2-G73.7, G90-G90.9, G95-G95.9, M33-M33.9","G11.0,G11.1,G11.2,G11.3,G11.4,G11.8,G11.9,G12.0,G12.1,G13.0,G13.1,G13.2,G13.8,G23.0,G23.1,G23.2,G23.8,G23.9,G24.0,G24.1,G24.2,G24.3,G24.4,G24.5,G24.8,G24.9,G24.1,G24.2,G24.3,G24.4,G24.5,G24.8,G24.9,G25.0,G25.2,G25.3,G25.5,G25.8,G25.9,G36.0,G36.1,G36.8,G36.9,G37.0,G37.1,G37.2,G37.3,G37.4,G37.5,G37.8,G37.9,G61.0,G61.1,G61.8,G61.9,G70.0,G70.1,G70.2,G70.8,G70.9,G71.0,G71.1,G71.2,G71.3,G71.8,G71.9,G72.0,G72.1,G72.2,G72.3,G72.4,G72.8,G72.9,G72.2,G72.3,G72.4,G72.8,G72.9,G73.1,G73.3,G73.7,G90.0,G90.1,G90.2,G90.3,G90.4,G90.5,G90.8,G90.9,G95.0,G95.1,G95.2,G95.8,G95.9,M33.0,M33.1,M33.2,M33.9"
559,Schizophrenia,F20,"F20.0,F20.1,F20.2,F20.3,F20.5,F20.8,F20.9"
560,Alcohol use disorders,"F10-F10.9, G31.2, G72.1, P04.3, Q86.0, R78.0, X45-X45.9, X65-X65.9, Y15-Y15.9","F10.1,F10.2,F10.9,G31.2,G72.1,P04.3,Q86.0,R78.0"
561,Drug use disorders,"F11-F16.9, F18-F19.9, P04.4, P96.1, R78.1-R78.5","F11.1,F11.2,F11.9,F12.1,F12.2,F12.9,F13.1,F13.2,F13.9,F14.1,F14.2,F14.9,F15.1,F15.2,F15.9,F16.1,F16.2,F16.9,F18.1,F18.2,F18.9,F19.1,F19.2,F19.9,P04.4,P96.1,R78.1,R78.2,R78.3,R78.4,R78.5"
567,Depressive disorders,"F32, F43","F32.0,F32.1,F32.2,F32.3,F32.4,F32.5,F32.8,F32.9,F43.0,F43.1,F43.2,F43.8,F43.9"
570,Bipolar disorder,F31,"F31.0,F31.1,F31.2,F31.3,F31.4,F31.5,F31.6,F31.7,F31.8,F31.9"
571,Anxiety disorders,"F40, F41","F40.0,F40.1,F40.2,F40.8,F40.9,F41.0,F41.1,F41.3,F41.8,F41.9"
572,Eating disorders,F50.0-F50.5,"F50.0,F50.2"
575,Autistic spectrum disorders,F84,"F84.0,F84.2,F84.3,F84.5,F84.8,F84.9"
578,Attention-deficit/hyperactivity disorder,F90,"F90.0,F90.1,F90.2,F90.8,F90.9"
579,Conduct disorder,F91,"F91.0,F91.1,F91.2,F91.3,F91.8,F91.9"
585,Other mental and substance use disorders,F10-F90,"F10.1,F10.2,F10.9,F11.1,F11.2,F11.9,F12.1,F12.2,F12.9,F13.1,F13.2,F13.9,F14.1,F14.2,F14.9,F15.1,F15.2,F15.9,F16.1,F16.2,F16.9,F17.2,F18.1,F18.2,F18.9,F19.1,F19.2,F19.9,F20.0,F20.1,F20.2,F20.3,F20.5,F20.8,F20.9,F25.0,F25.1,F25.8,F25.9,F30.1,F30.2,F30.3,F30.4,F30.8,F30.9,F31.0,F31.1,F31.2,F31.3,F31.4,F31.5,F31.6,F31.7,F31.8,F31.9,F32.0,F32.1,F32.2,F32.3,F32.4,F32.5,F32.8,F32.9,F33.0,F33.1,F33.2,F33.3,F33.4,F33.8,F33.9,F34.0,F34.1,F34.8,F34.9,F40.0,F40.1,F40.2,F40.8,F40.9,F41.0,F41.1,F41.3,F41.8,F41.9,F43.0,F43.1,F43.2,F43.8,F43.9,F44.0,F44.1,F44.2,F44.4,F44.5,F44.6,F44.7,F44.8,F44.9,F45.0,F45.1,F45.2,F45.4,F45.8,F45.9,F48.1,F48.2,F48.8,F48.9,F50.0,F50.2,F50.8,F50.9,F51.0,F51.1,F51.3,F51.4,F51.5,F51.8,F51.9,F52.0,F52.1,F52.2,F52.3,F52.4,F52.5,F52.6,F52.8,F52.9,F55.0,F55.1,F55.2,F55.3,F55.4,F55.8,F60.0,F60.1,F60.2,F60.3,F60.4,F60.5,F60.6,F60.7,F60.8,F60.9,F63.0,F63.1,F63.2,F63.3,F63.8,F63.9,F64.1,F64.2,F64.8,F64.9,F65.0,F65.1,F65.2,F65.3,F65.4,F65.5,F65.8,F65.9,F68.1,F68.8,F80.0,F80.1,F80.2,F80.4,F80.8,F80.9,F81.0,F81.2,F81.8,F81.9,F84.0,F84.2,F84.3,F84.5,F84.8,F84.9,F90.0,F90.1,F90.2,F90.8,F90.9"
587,Diabetes mellitus,"E10-E10.1, E10.3-E11.1, E11.3-E12.1, E12.3-E13.1, E13.3-E14.1, E14.3-E14.9, P70.0-P70.2, R73-R73.9","E10.3,E10.4,E10.5,E10.6,E10.8,E10.9,E11.0,E10.1,E11.3,E11.4,E11.5,E11.6,E11.8,E11.9,E13.0,E13.1,E13.3,E13.4,E13.5,E13.6,E13.8,E13.9,P70.0,P70.1,P70.2,R73.0,R73.9"
588,Acute glomerulonephritis,N00-N01.9,"N00.0,N00.1,N00.2,N00.3,N00.4,N00.5,N00.6,N00.7,N00.8,N00.9,N01.0,N01.1,N01.2,N01.3,N01.4,N01.5,N01.6,N01.7,N01.8,N01.9"
589,Chronic kidney disease,"D63.1, E10.2, E11.2, E12.2, E13.2, E14.2, I12-I13.9, N02-N08.8, N15.0, N18-N18.9, Q61-Q62.8","D63.1,E10.2,E11.2,E13.2,I12.0,I12.9,I13.0,I13.1,I13.2,N02.0,N02.1,N02.2,N02.3,N02.4,N02.5,N02.6,N02.7,N02.8,N02.9,N03.0,N03.1,N03.2,N03.3,N03.4,N03.5,N03.6,N03.7,N03.8,N03.9,N04.0,N04.1,N04.2,N04.3,N04.4,N04.5,N04.6,N04.7,N04.8,N04.9,N05.0,N05.1,N05.2,N05.3,N05.4,N05.5,N05.6,N05.7,N05.8,N05.9,N06.0,N06.1,N06.2,N06.3,N06.4,N06.5,N06.6,N06.7,N06.8,N06.9,N07.0,N07.1,N07.2,N07.3,N07.4,N07.5,N07.6,N07.7,N07.8,N07.9,N15.0,N18.1,N18.2,N18.3,N18.4,N18.5,N18.6,N18.9,Q61.0,Q61.1,Q61.2,Q61.3,Q61.4,Q61.5,Q61.8,Q61.9,Q62.0,Q62.1,Q62.2,Q62.3,Q62.4,Q62.5,Q62.6,Q62.7,Q62.8"
594,Urinary diseases and male infertility,"N10-N12.9, N15, N15.1-N16.8, N20-N23.0, N25-N28.1, N29-N32.0, N32.3-N32.4, N34-N34.3, N36-N36.9, N39-N39.2, N41-N41.9, N44-N44.0, N45-N45.9, N49-N49.9","N11.0,N11.1,N11.8,N11.9,N15.0,N15.1,N15.8,N15.9,N15.1,N15.8,N15.9,N20.0,N20.1,N20.2,N20.9,N21.0,N21.1,N21.8,N21.9,N25.0,N25.1,N25.8,N25.9,N26.1,N26.2,N26.9,N27.0,N27.1,N27.9,N28.0,N28.1,N30.0,N30.1,N30.2,N30.3,N30.4,N30.8,N30.9,N31.0,N31.1,N31.2,N31.8,N31.9,N32.0,N32.3,N34.0,N34.1,N34.2,N34.3,N36.0,N36.1,N36.2,N36.4,N36.5,N36.8,N36.9,N39.0,N41.0,N41.1,N41.2,N41.3,N41.4,N41.8,N41.9,N44.0,N45.1,N45.2,N45.3,N45.4,N49.0,N49.1,N49.2,N49.3,N49.8,N49.9"
603,Gynecological diseases,"D25-D26, D26.1-D26.9, D28.2, E28.2, N72-N72.0, N75-N77.8, N80-N81.9, N83-N83.9","D25.0,D25.1,D25.2,D25.9,D26.0,D26.1,D26.7,D26.9,D26.1,D26.7,D26.9,D28.2,E28.2,N75.0,N75.1,N75.8,N75.9,N76.0,N76.1,N76.2,N76.3,N76.4,N76.5,N76.6,N76.8,N77.0,N77.1,N80.0,N80.1,N80.2,N80.3,N80.4,N80.5,N80.6,N80.8,N80.9,N81.0,N81.1,N81.2,N81.3,N81.4,N81.5,N81.6,N81.8,N81.9,N83.0,N83.1,N83.2,N83.3,N83.4,N83.5,N83.6,N83.7,N83.8,N83.9"
613,Hemoglobinopathies and hemolytic anemias,"D55-D58.9, D59.1, D59.3, D59.5, D60-D61.9, D64.0, D64.4","D55.0,D55.1,D55.2,D55.3,D55.8,D55.9,D56.0,D56.1,D56.2,D56.3,D56.4,D56.5,D56.8,D56.9,D57.0,D57.1,D57.2,D57.3,D57.4,D57.8,D58.0,D58.1,D58.2,D58.8,D58.9,D59.1,D59.3,D59.5,D60.0,D60.1,D60.8,D60.9,D61.0,D61.1,D61.2,D61.3,D61.8,D61.9,D64.0,D64.4"
619,"Endocrine, metabolic, blood, and immune disorders","D52.1, D59.0, D59.2, D59.6, D66-D67, D68.0-D69.8, D70-D75.8, D76-D78.8, D86.8, D89-D89.3, E03-E07.1, E09-E09.9, E15.0, E16.0-E16.9, E20-E28.1, E28.3-E34.8, E36-E36.8, E65-E68, E70-E85.2, E88-E89.9, G21.1, G24.0, G25.1, G25.4, G25.6-G25.7, G72.0, G93.7, G97-G97.9, I95.2-I95.3, I97-I97.9, I98.9, J70.2-J70.5, J95-J95.9, K43-K43.9, K62.7, K91-K91.9, K94-K95.8, M87.1, N14-N14.4, N65-N65.1, N99-N99.9, P96.2, P96.5, R50.2","D52.1,D59.0,D59.2,D59.6,D68.0,D68.1,D68.2,D68.3,D68.4,D68.5,D68.6,D68.8,D68.9,D69.0,D69.1,D69.2,D69.3,D69.4,D69.5,D69.6,D69.8,D70.0,D70.1,D70.2,D70.3,D70.4,D70.8,D70.9,D72.0,D72.1,D72.8,D72.9,D73.0,D73.1,D73.2,D73.3,D73.4,D73.5,D73.8,D73.9,D74.0,D74.8,D74.9,D75.0,D75.1,D75.8,D76.1,D76.2,D76.3,D78.0,D78.1,D78.2,D78.8,D86.8,D89.0,D89.1,D89.2,D89.3,E03.0,E03.1,E03.2,E03.3,E03.4,E03.5,E03.8,E03.9,E04.0,E04.1,E04.2,E04.8,E04.9,E05.0,E05.1,E05.2,E05.3,E05.4,E05.8,E05.9,E06.0,E06.1,E06.2,E06.3,E06.4,E06.5,E06.9,E07.0,E07.1,E09.0,E09.1,E09.2,E09.3,E09.4,E09.5,E09.6,E09.8,E09.9,E16.0,E16.1,E16.2,E16.3,E16.4,E16.8,E16.9,E20.0,E20.1,E20.8,E20.9,E21.0,E21.1,E21.2,E21.3,E21.4,E21.5,E22.0,E22.1,E22.2,E22.8,E22.9,E23.0,E23.1,E23.2,E23.3,E23.6,E23.7,E24.0,E24.1,E24.2,E24.3,E24.4,E24.8,E24.9,E25.0,E25.8,E25.9,E26.0,E26.1,E26.8,E26.9,E27.0,E27.1,E27.2,E27.3,E27.4,E27.5,E27.8,E27.9,E28.0,E28.1,E28.3,E28.8,E28.9,E29.0,E29.1,E29.8,E29.9,E30.0,E30.1,E30.8,E30.9,E31.0,E31.1,E31.2,E31.8,E31.9,E32.0,E32.1,E32.8,E32.9,E34.0,E34.1,E34.2,E34.3,E34.4,E34.5,E34.8,E36.0,E36.1,E36.8,E66.0,E66.1,E66.2,E66.3,E66.8,E66.9,E67.0,E67.1,E67.2,E67.3,E67.8,E70.0,E70.1,E70.2,E70.3,E70.4,E70.5,E70.8,E70.9,E71.0,E71.1,E71.2,E71.3,E71.4,E71.5,E72.0,E72.1,E72.2,E72.3,E72.4,E72.5,E72.8,E72.9,E73.0,E73.1,E73.8,E73.9,E74.0,E74.1,E74.2,E74.3,E74.4,E74.8,E74.9,E75.0,E75.1,E75.2,E75.3,E75.4,E75.5,E75.6,E76.0,E76.1,E76.2,E76.3,E76.8,E76.9,E77.0,E77.1,E77.8,E77.9,E78.0,E78.1,E78.2,E78.3,E78.4,E78.5,E78.6,E78.7,E78.8,E78.9,E79.0,E79.1,E79.2,E79.8,E79.9,E80.0,E80.1,E80.2,E80.3,E80.4,E80.5,E80.6,E80.7,E83.0,E83.1,E83.2,E83.3,E83.4,E83.5,E83.8,E83.9,E84.0,E84.1,E84.8,E84.9,E85.0,E85.1,E85.2,E88.0,E88.1,E88.2,E88.3,E88.4,E88.8,E88.9,E89.0,E89.1,E89.2,E89.3,E89.4,E89.5,E89.6,E89.8,G21.1,G24.0,G25.1,G25.4,G25.6,G25.7,G72.0,G93.7,G97.0,G97.1,G97.2,G97.3,G97.4,G97.5,G97.8,I95.2,I95.3,I97.0,I97.1,I97.2,I97.3,I97.4,I97.5,I97.6,I97.7,I97.8,J70.2,J70.3,J70.4,J70.5,J95.0,J95.1,J95.2,J95.3,J95.4,J95.5,J95.6,J95.7,J95.8,K43.0,K43.1,K43.2,K43.3,K43.4,K43.5,K43.6,K43.7,K43.9,K62.7,K91.0,K91.1,K91.2,K91.3,K91.5,K91.6,K91.7,K91.8,K94.0,K94.1,K94.2,K94.3,K95.0,K95.8,M87.1,N14.0,N14.1,N14.2,N14.3,N14.4,N65.0,N65.1,N99.0,N99.1,N99.2,N99.3,N99.4,N99.5,N99.6,N99.7,N99.8,P96.2,P96.5,R50.2"
627,Rheumatoid arthritis,"M05-M06.9, M08.0-M08.8","M05.0,M05.1,M05.2,M05.3,M05.4,M05.5,M05.6,M05.7,M05.8,M05.9,M06.0,M06.1,M06.2,M06.3,M06.4,M06.8,M06.9,M08.0,M08.1,M08.2,M08.3,M08.4,M08.8"
628,Osteoarthritis,M15-M19,"M15.0,M15.1,M15.2,M15.3,M15.4,M15.8,M15.9,M16.0,M16.1,M16.2,M16.3,M16.4,M16.5,M16.6,M16.7,M16.9,M17.0,M17.1,M17.2,M17.3,M17.4,M17.5,M17.9,M18.0,M18.1,M18.2,M18.3,M18.4,M18.5,M18.9,M19.0,M19.1,M19.2,M19.9"
629,Low back and neck pain,M54,"M54.0,M54.1,M54.2,M54.3,M54.4,M54.5,M54.6,M54.8,M54.9"
632,Gout,M10,"M10.0,M10.1,M10.2,M10.3,M10.4,M10.9"
639,Other musculoskeletal disorders,"I27.1, I67.7, L93-L93.2, M00-M03.0, M03.2-M03.6, M07-M08, M08.9-M09.0, M09.2-M09.8, M30-M32.9, M34-M36.8, M40-M43.1, M65-M65.0, M71.0-M71.1, M80-M82.8, M86.3-M86.4, M87-M87.0, M88-M89.0, M89.5, M89.7-M89.9","I27.1,I67.7,L93.0,L93.1,L93.2,M00.0,M00.1,M00.2,M00.8,M00.9,M02.0,M02.1,M02.2,M02.3,M02.8,M02.9,M07.6,M08.0,M08.1,M08.2,M08.3,M08.4,M08.8,M08.9,M08.9,M30.0,M30.1,M30.2,M30.3,M30.8,M31.0,M31.1,M31.2,M31.3,M31.4,M31.5,M31.6,M31.7,M31.8,M31.9,M32.0,M32.1,M32.8,M32.9,M34.0,M34.1,M34.2,M34.8,M34.9,M35.0,M35.1,M35.2,M35.3,M35.4,M35.5,M35.6,M35.7,M35.8,M35.9,M36.0,M36.1,M36.2,M36.3,M36.4,M36.8,M40.0,M40.1,M40.2,M40.3,M40.4,M40.5,M41.0,M41.1,M41.2,M41.3,M41.4,M41.5,M41.8,M41.9,M42.0,M42.1,M42.9,M43.0,M43.1,M65.0,M71.0,M71.1,M80.0,M80.8,M81.0,M81.6,M81.8,M86.3,M86.4,M87.0,M88.0,M88.1,M88.8,M88.9,M89.0,M89.5,M89.7,M89.8,M89.9"
